company,category,priority,location,ats,ats_identifier,notes
Brookings Institution,think-tank,B,"Washington, DC",icims,,
Center for Strategic and International Studies (CSIS),think-tank,B,"Washington, DC",icims,,
Center for Global Development (CGD),think-tank,B,"Washington, DC",bamboohr,,
Atlantic Council,think-tank,B,"Washington, DC",greenhouse,,
American Enterprise Institute (AEI),think-tank,B,"Washington, DC",icims,,
Center for American Progress (CAP),think-tank,B,"Washington, DC",greenhouse,,
Aspen Institute,think-tank,B,"Washington, DC",workday,,
German Marshall Fund,think-tank,B,"Washington, DC",bamboohr,,
Wilson Center (Woodrow Wilson Int'l Center),think-tank,B,"Washington, DC",usajobs,,
Carnegie Endowment for Int'l Peace,think-tank,B,"Washington, DC",bamboohr,,
Peterson Institute for Int'l Economics,think-tank,B,"Washington, DC",unknown,,
FHI 360,NGO-multilateral,B,"Washington, DC",workday,,
Population Services International (PSI),NGO-multilateral,B,"Washington, DC",workday,,
Winrock International,NGO-multilateral,B,"Arlington, VA",workday,,
TechnoServe,NGO-multilateral,B,"Washington, DC",workday,,
Counterpart International,NGO-multilateral,B,"Arlington, VA",bamboohr,,
Global Communities,NGO-multilateral,B,"Silver Spring, MD",workday,,
Creative Associates International,NGO-multilateral,B,"Washington, DC",workday,,
MSH (Management Sciences for Health),NGO-multilateral,B,"Arlington, VA",workday,,
Results for Development (R4D),NGO-multilateral,B,"Washington, DC",greenhouse,,
Conservation International,NGO-multilateral,B,"Arlington, VA",workday,,
The Nature Conservancy (TNC),NGO-multilateral,B,"Arlington, VA",workday,,
World Wildlife Fund (WWF-US),NGO-multilateral,B,"Washington, DC",workday,,
Environmental Defense Fund (EDF),NGO-multilateral,B,"Washington, DC",workday,,
Natural Resources Defense Council (NRDC),NGO-multilateral,B,"Washington, DC",icims,,
Sierra Club,NGO-multilateral,B,"Washington, DC",icims,,
Union of Concerned Scientists,NGO-multilateral,B,"Washington, DC",lever,,
Rocky Mountain Institute (RMI),NGO-multilateral,B,"Washington, DC",greenhouse,,
Clean Air Task Force (CATF),NGO-multilateral,B,"Washington, DC",greenhouse,,
Environmental and Energy Study Institute (EESI),NGO-multilateral,B,"Washington, DC",unknown,,
Energy Innovation,NGO-multilateral,B,"Washington, DC",unknown,,
Center for Clean Air Policy (CCAP),NGO-multilateral,B,"Washington, DC",unknown,,
Center for Climate and Energy Solutions (C2ES),think-tank,B,"Arlington, VA",greenhouse,,
United Nations Foundation,NGO-multilateral,B,"Washington, DC",workday,,
InterAction,NGO-multilateral,B,"Washington, DC",bamboohr,,
Leidos,federal-contractor,B,"Reston, VA",workday,,
SAIC,federal-contractor,B,"Reston, VA",workday,,
CACI International,federal-contractor,B,"Reston, VA",workday,,
Peraton,federal-contractor,B,"Herndon, VA",workday,,
General Dynamics IT (GDIT),federal-contractor,B,"Falls Church, VA",workday,,
Northrop Grumman,federal-contractor,B,"Falls Church, VA",workday,,
Lockheed Martin,federal-contractor,B,"Bethesda, MD",workday,,
Noblis,federal-contractor,B,"Reston, VA",workday,,
MITRE,federal-contractor,B,"McLean, VA",workday,,
Parsons Corporation,federal-contractor,B,"Centreville, VA",workday,,
Maximus,federal-contractor,B,"Tysons, VA",workday,,
Battelle,federal-contractor,B,"Arlington, VA",workday,,
Bechtel,federal-contractor,B,"Reston, VA",workday,,
BAE Systems,federal-contractor,B,"Falls Church, VA",workday,,
RAND Corporation,think-tank,B,"Arlington, VA",icims,,
Capital One,corporate-HQ,B,"McLean, VA",workday,,
Fannie Mae,corporate-HQ,B,"Washington, DC",workday,,
Freddie Mac,corporate-HQ,B,"McLean, VA",workday,,
Hilton Worldwide,corporate-HQ,B,"Tysons, VA",workday,,
Marriott International,corporate-HQ,B,"Bethesda, MD",workday,,
Boeing,corporate-HQ,B,"Arlington, VA",workday,,
Amazon (AWS + HQ2),corporate-HQ,B,"Arlington, VA",custom,,
Mars Inc.,corporate-HQ,B,"McLean, VA",workday,,
Danaher,corporate-HQ,B,"Washington, DC",workday,,
Carlyle Group,corporate-HQ,B,"Washington, DC",workday,,
General Dynamics,corporate-HQ,B,"Reston, VA",workday,,
Nestlé USA,corporate-HQ,B,"Arlington, VA",smartrecruiters,,
Volkswagen Group of America,corporate-HQ,B,"Herndon, VA",workday,,
Department of Energy (DOE),federal-agency,B,"Washington, DC",usajobs,,
Environmental Protection Agency (EPA),federal-agency,B,"Washington, DC",usajobs,,
Department of State,federal-agency,B,"Washington, DC",usajobs,,
USAID,federal-agency,B,"Washington, DC",usajobs,,
Millennium Challenge Corporation (MCC),federal-agency,B,"Washington, DC",usajobs,,
US Trade & Development Agency (USTDA),federal-agency,B,"Arlington, VA",usajobs,,
Department of Treasury,federal-agency,B,"Washington, DC",usajobs,,
Department of Commerce,federal-agency,B,"Washington, DC",usajobs,,
Department of Interior,federal-agency,B,"Washington, DC",usajobs,,
Department of Agriculture (USDA),federal-agency,B,"Washington, DC",usajobs,,
Nuclear Regulatory Commission (NRC),federal-agency,B,"Rockville, MD",usajobs,,
Federal Energy Regulatory Commission (FERC),federal-agency,B,"Washington, DC",usajobs,,
Export-Import Bank of the US,federal-agency,B,"Washington, DC",usajobs,,
Development Finance Corp (DFC),federal-agency,B,"Washington, DC",usajobs,,
National Science Foundation (NSF),federal-agency,B,"Alexandria, VA",usajobs,,
Peace Corps,federal-agency,B,"Washington, DC",usajobs,,
Edelman,consulting,C,"Washington, DC",workday,,
APCO Worldwide,consulting,C,"Washington, DC",workday,,
BRG (Berkeley Research Group),consulting,C,"Washington, DC",icims,,
Navigant / now Guidehouse,consulting,C,"McLean, VA",workday,,
ICLEI USA,NGO-multilateral,C,"Washington, DC",unknown,,
Ceres,NGO-multilateral,C,"Washington, DC",greenhouse,,
Climate Reality Project,NGO-multilateral,C,"Washington, DC",bamboohr,,
350.org,NGO-multilateral,C,"Washington, DC",unknown,,
BlueGreen Alliance,NGO-multilateral,C,"Washington, DC",greenhouse,,
American Council on Renewable Energy (ACORE),NGO-multilateral,C,"Washington, DC",unknown,,
Solar Energy Industries Assoc (SEIA),NGO-multilateral,C,"Washington, DC",icims,,
American Clean Power Assoc (ACP),NGO-multilateral,C,"Washington, DC",lever,,
Nuclear Energy Institute (NEI),NGO-multilateral,C,"Washington, DC",unknown,,
Edison Electric Institute (EEI),NGO-multilateral,C,"Washington, DC",unknown,,
US Chamber of Commerce,NGO-multilateral,C,"Washington, DC",icims,,
Business Roundtable,NGO-multilateral,C,"Washington, DC",unknown,,
Bipartisan Policy Center,think-tank,C,"Washington, DC",greenhouse,,
New America Foundation,think-tank,C,"Washington, DC",greenhouse,,
Stimson Center,think-tank,C,"Washington, DC",bamboohr,,
Third Way,think-tank,C,"Washington, DC",lever,,
R Street Institute,think-tank,C,"Washington, DC",bamboohr,,
Niskanen Center,think-tank,C,"Washington, DC",unknown,,
Pew Charitable Trusts,think-tank,C,"Washington, DC",workday,,
Open Society Foundations,NGO-multilateral,C,"Washington, DC",workday,,
Ford Foundation,NGO-multilateral,C,"Washington, DC",workday,,
Rockefeller Foundation,NGO-multilateral,C,"Washington, DC",greenhouse,,
Bloomberg Philanthropies,NGO-multilateral,C,"Washington, DC",greenhouse,,
Hewlett Foundation,NGO-multilateral,C,"Washington, DC",greenhouse,,
MacArthur Foundation,NGO-multilateral,C,"Washington, DC",workday,,
World Cocoa Foundation,NGO-multilateral,C,"Washington, DC",unknown,,
Smithsonian Institution,federal-agency,C,"Washington, DC",usajobs,,
National Geographic Society,NGO-multilateral,C,"Washington, DC",workday,,
AARP,NGO-multilateral,C,"Washington, DC",workday,,
American Red Cross,NGO-multilateral,C,"Washington, DC",workday,,
Freddie Mac & Fannie Mae (GSE),corporate-HQ,C,McLean/DC,workday,,
MedStar Health,corporate-HQ,C,"Columbia, MD",workday,,
Inova Health System,corporate-HQ,C,"Falls Church, VA",workday,,
International Medical Corps,NGO-multilateral,C,"Washington, DC",workday,,
Save the Children,NGO-multilateral,C,"Fairfield, CT + DC",workday,,
Oxfam America,NGO-multilateral,C,"Washington, DC",bamboohr,,
CARE USA,NGO-multilateral,C,"Washington, DC",workday,,
Plan International USA,NGO-multilateral,C,"Washington, DC",bamboohr,,
IREX,NGO-multilateral,C,"Washington, DC",greenhouse,,
National Democratic Institute (NDI),NGO-multilateral,C,"Washington, DC",icims,,
International Republican Institute (IRI),NGO-multilateral,C,"Washington, DC",lever,,
Freedom House,NGO-multilateral,C,"Washington, DC",greenhouse,,
National Endowment for Democracy (NED),NGO-multilateral,C,"Washington, DC",bamboohr,,
Asia Foundation,NGO-multilateral,C,"Washington, DC",lever,,
Africa Society (Constituency for Africa),NGO-multilateral,C,"Washington, DC",unknown,,
Islamic Relief USA,NGO-multilateral,C,"Alexandria, VA",workday,,
Mercy Corps,NGO-multilateral,C,"Washington, DC",workday,,
State of Virginia (Commonwealth),government-state-local,B,"Richmond, VA",custom,,
Virginia Dept of Environmental Quality,government-state-local,B,"Woodbridge, VA",custom,,
State of Maryland,government-state-local,B,"Annapolis, MD",custom,,
Maryland Dept of the Environment (MDE),government-state-local,B,"Baltimore, MD",custom,,
District of Columbia Government,government-state-local,B,"Washington, DC",custom,,
DC Dept of Energy and Environment (DOEE),government-state-local,B,"Washington, DC",custom,,
Fairfax County Government,government-state-local,B,"Fairfax, VA",neogov,,
Arlington County Government,government-state-local,B,"Arlington, VA",neogov,,
Montgomery County Government (MD),government-state-local,B,"Rockville, MD",neogov,,
Prince George's County (MD),government-state-local,B,"Upper Marlboro, MD",neogov,,
City of Alexandria (VA),government-state-local,B,"Alexandria, VA",neogov,,
Falls Church City (VA),government-state-local,B,"Falls Church, VA",neogov,,
City of Rockville (MD),government-state-local,B,"Rockville, MD",neogov,,
Loudoun County (VA),government-state-local,B,"Leesburg, VA",neogov,,
Prince William County (VA),government-state-local,B,"Woodbridge, VA",neogov,,
WMATA (Washington Metro),government-state-local,B,"Washington, DC",icims,,
Metropolitan Washington Council of Governments,government-state-local,B,"Washington, DC",unknown,,
Google,corporate-HQ,B,"Reston, VA",custom,,
Microsoft,corporate-HQ,B,"Reston, VA",custom,,
Meta,corporate-HQ,B,"Washington, DC",custom,,
Apple,corporate-HQ,B,"Washington, DC",custom,,
Salesforce,corporate-HQ,B,"Washington, DC",workday,,
Oracle,corporate-HQ,B,"Reston, VA",oracle,,
IBM,corporate-HQ,B,"Bethesda, MD",workday,,
Cisco,corporate-HQ,B,"Herndon, VA",workday,,
ServiceNow,corporate-HQ,B,"Vienna, VA",workday,,
Adobe,corporate-HQ,B,"Tysons, VA",workday,,
AWS (Amazon Web Services),corporate-HQ,B,"Arlington, VA",custom,,
Palantir,corporate-HQ,B,"Washington, DC",lever,,
Dell Technologies,corporate-HQ,B,"Tysons, VA",workday,,
SAP,corporate-HQ,B,"Reston, VA",successfactors,,
Intel Federal,corporate-HQ,B,"Fairfax, VA",workday,,
AT&T,corporate-HQ,B,"Washington, DC",workday,,
Verizon,corporate-HQ,B,"Ashburn, VA",oracle,,
T-Mobile,corporate-HQ,B,"Reston, VA",workday,,
Comcast,corporate-HQ,B,"Reston, VA",workday,,
PepsiCo,corporate-HQ,B,"Purchase, NY (DC office)",workday,,
Coca-Cola,corporate-HQ,B,"Atlanta, GA (DC office)",workday,,
Unilever,corporate-HQ,B,"Englewood Cliffs, NJ",workday,,
Procter & Gamble,corporate-HQ,B,"Cincinnati, OH",workday,,
Walmart,corporate-HQ,B,"Washington, DC",workday,,
Target,corporate-HQ,B,"Minneapolis, MN",workday,,
JPMorgan Chase,corporate-HQ,B,"Washington, DC",custom,,
Bank of America,corporate-HQ,B,"Washington, DC",workday,,
Wells Fargo,corporate-HQ,B,"Arlington, VA",workday,,
Citi,corporate-HQ,B,"Washington, DC",workday,,
Goldman Sachs,corporate-HQ,B,"Washington, DC",workday,,
BlackRock,corporate-HQ,B,"Washington, DC",workday,,
Morgan Stanley,corporate-HQ,B,"Washington, DC",workday,,
Ford Motor Company,corporate-HQ,B,"Dearborn, MI",workday,,
GM,corporate-HQ,B,"Detroit, MI",workday,,
Johnson & Johnson,corporate-HQ,B,"New Brunswick, NJ",workday,,
Pfizer,corporate-HQ,B,"New York, NY",workday,,
Walt Disney Co.,corporate-HQ,B,"Burbank, CA",workday,,
Wells Real Estate / Realogy / large REITs,corporate-HQ,B,Various DC,workday,,
JBG SMITH,corporate-HQ,B,"Bethesda, MD",workday,,
NVR Inc.,corporate-HQ,B,"Reston, VA",workday,,
Dominion Energy,corporate-HQ,B,"Richmond, VA (NoVA ops)",workday,,
Pepco / Exelon,corporate-HQ,B,"Washington, DC",workday,,
Washington Gas / AltaGas,corporate-HQ,B,"Springfield, VA",ukg,,
BAE Systems,corporate-HQ,B,"Falls Church, VA",workday,,
Tegna Inc.,corporate-HQ,B,"Tysons, VA",workday,,
Maximus,corporate-HQ,B,"Tysons, VA",workday,,
V2X Inc.,corporate-HQ,B,"Reston, VA",workday,,
Navient,corporate-HQ,B,"Herndon, VA",workday,,
M.C. Dean,corporate-HQ,B,"Tysons, VA",icims,,
Carahsoft,corporate-HQ,B,"Reston, VA",icims,,
CEB / Gartner,corporate-HQ,B,"Arlington, VA",workday,,
Accenture,consulting,B,"Arlington, VA",workday,,
SAIC Commercial,corporate-HQ,B,"Reston, VA",workday,,
Hilton Grand Vacations,corporate-HQ,B,"Orlando, FL",workday,,
Choice Hotels,corporate-HQ,B,"Rockville, MD",workday,,
Host Hotels & Resorts,corporate-HQ,B,"Bethesda, MD",workday,,
Under Armour,corporate-HQ,B,"Baltimore, MD",workday,,
Discovery Communications / Warner Bros Discovery,corporate-HQ,B,New York (formerly Silver Spring),workday,,
United Therapeutics,corporate-HQ,B,"Silver Spring, MD",workday,,
Emergent BioSolutions,corporate-HQ,B,"Gaithersburg, MD",workday,,
Novavax,corporate-HQ,B,"Gaithersburg, MD",workday,,
Thomson Reuters,corporate-HQ,B,"Eagan, MN (DC office)",workday,,
Deloitte Federal,consulting,B,"Arlington, VA",workday,,
